"TOKEN";"REFTEXT"
"LG1M2";"LG1 MK.2"
"NLAW";"NLAW"
"AUG";"AUG"
"AUGHB";"AUG HBAR"
"WFPVPTRA";"PANHARD PVP"

"WFLECFRA";"LECLERC S2"
"WFLECXXI";"LECLERC XXI"
"WFLECXLR";"LECLERC XLR"
"WFXLRCMD";"#CMD LECLERC XLR CMD"
"WFXXICMD";"#CMD LECLERC XXI CMD"
"WFVBCIFV";"VBCI"
"WFVBCLEG";"VBCI LEGION"
"WFVPCCMD";"#CMD VPC"
"WFEBRREC";"EBRC SPAHIS"
"WFEBRLEG";"EBRC LEGION"
"WFVBMGRI";"GRIFFON VTT"
"WFVBMLEG";"GRIFFON VTT LEGION"
"WFVBMCMD";"#CMD GRIFFON EPC"
"WFVBMMOR";"GRIFFON MEPAC"
"WFVBMVOA";"#RECO3 GRIFFON VOA"
"WFCAE6X6";"CAESAR"
"WFCAECLU";"CAESAR [CLU]"
"WFSAMMAM";"MAMBA"
"WFSAMCRO";"CROTALE NG"
"WFVT4TRA";"VT4"
"WFVT4CMD";"#CMD VT4 PC"
"WFATGMMP";"AKERON MP"
"WFATGMLE";"LEGION. AKERON MP"
"WFM2HLEG";"LEGION. M2HB"
"WFCHAFRA";"CHASSEURS"
"WFCHALEG";"LEGION.-CHASSEURS"
"WFCHAERY";"CHASSEURS ANTICHAR"
"WFCHARES";"RES. CHASSEURS"
"WFRIFFRA";"MARSOUINS"
"WFRIFLEG";"LEGIONNAIRES"
"WFRIFLER";"LEGIONNAIRES (ERYX)"
"WFRIFLDF";"#CMD CMDT MARSOUINS"
"WFRIFERY";"MARSOUINS (ERYX)"
"WFRIFATC";"MARSOUINS ANTICHAR"
"WFRIFRES";"RESERVISTES"
"WFENGFR4";"SAPEURS (AT4)"
"WFSAPLEG";"LEGION.-SAPEURS"
"WFSAPFR4";"LEGION.-SAPEURS (AT4)"
"WFLEGCMD";"#CMD CMDT LEGION."
"WFSAPLFR";"#CMD CMDT LEGION.-SAPEURS"
"WFSCTERY";"#RECO2 ECLAIREURS (ERYX)"
"WFSCTLEG";"#RECO2 LEGION. ECLAIREURS"
"WFSCTLPA";"#RECO2 LEGION. PATROL"
"WFSNIHEC";"#RECO2 LEGION. SNIPER"
"WFMANMR3";"MISTRAL 3"
"WFMIL3ER";"MILAN 3"
"WFHMGMAG";"FN MAG"
"WFVPSFRA";"#RECO1 VPS"
"WFVBLML3";"VBL MILAN ER"
"WFGBCSUP";"GBC 180"
"WFTIGHAP";"TIGER HAP"
"WFTIGRKT";"TIGER HAP [RKT]"
"WFTIGHAD";"TIGER HAD"
"WFTIGHAA";"TIGER HAD [AA]"
"WFNH9SUP";"CAIMAN LOG."
"WFNH9GUN";"CAIMAN TTH"
"WFGAZHO3";"GAZELLE HOT 3"
"WFRAFAA1";"RAFALE C [AA1]"
"WFRAFAA2";"RAFALE C [AA2]"
"WFRAFCAS";"RAFALE C [PSM]"
"WFRAFCA2";"RAFALE C [LGB]"
"WFRAFCA3";"RAFALE C [SCALP]"
"WFMIR25F";"MIRAGE 2000 5F"
"WFMIR2D1";"MIRAGE 2000 D [LGB1]"
"WFMIR2D4";"MIRAGE 2000 D [LGB2]"
"WFMIR2D2";"MIRAGE 2000 D [SCALP]"
"WFMIR2D3";"MIRAGE 2000 D [AT]"
"WFMIR2D5";"MIRAGE 2000 D [RKT]"
"WFMIR2D6";"MIRAGE 2000 D [HE]"
"WFPIRAIV";"AIV FUSELIER"
"WFPIRCMD";"#CMD AIV PC"
"WFPIRD90";"AIV DF90"
"WFPIRD30";"AIV DF30"
"WFPIRD3S";"AIV DF30 SPIKE"
"WFPIRREC";"#RECO2 AIV DF30 ISTAR"
"WFRIBMMG";"FUSILIERS (MMG)"
"WFRIBDMR";"FUSILIERS (DMR)"
"WFRIBWPN";"GROUPE APPUI"
"WFENGBAT";"PIONIERS (MATADOR)"
"WFDIN2PP";"DINGO 2 FUS"
"WFDINMAG";"DINGO 2 FUS MAG"
"WFDINCMD";"#CMD DINGO 2 PC"
"WFDINLUX";"DINGO 2 PPV"
"WFJLTREC";"CLV FALCON PATROL"
"WFJLTBEL";"CLV FALCON"
"WFSPIBEL";"SPIKE MR"
"WF105LG1";"LG1 105MM"
"WFF16BAA";"F-16AM [AA]"
"WFF16BLG";"F-16AM [LGB]"
"WFF16BGB";"F-16AM [PGM]"
"WFSPYUAV";"#RECO3 SPY'RANGER"
"WFDAFBEL";"DAF CF 4X4 LOG."
"WFM27FRC";"LRU (CLU)"
"WFM27FRH";"LRU (HE)"
"WFCOMCRP";"COMMANDOS PARA"


"WF1PZGER";"1ST PANZER DIVISION"
"WF10PGER";"10TH PANZER DIVISION"

"120L55";"L55"
"L52";"L52"
"L52CLU";"L52 SMArt 155"
"L52PGM";"L52 Vulcano"
"MK302";"MK 30-2/ABM"
"MG4";"MG4"
"MG5";"MG5"
"GMG";"GMG"
"IRIST";"SLM"
"IRISA";"IRIS-T"
"G36";"G36"
"G28";"G28"
"PZF3T600";"PANZERFAUST 3-T600"
"PZF3IT";"PANZERFAUST 3-IT600"
"PARS";"PARS-3 LR"
"M3P";"M3P"
"TAURUS";"TAURUS"
"GBU48";"GBU-48"
"AGM88E";"AGM-88E"
"GBU24";"GBU-24"
"35mmBUSH";"BUSHMASTER 3"
"NASAMS";"NASAMS 3"
"SG553";"SG553"
"Fist";"IRON FIST"

"WFLEO2A6";"LEOPARD 2A6"
"WFLEO26M";"LEOPARD 2A6 MA3"
"WFLEO27V";"LEOPARD 2A7V"
"WFLEO7CM";"#CMD PZ.BED. LEOPARD 2A7V"
"WFLEO6CM";"#CMD PZ.BED. LEOPARD 2A6"
"WFLEO27T";"LEOPARD 2A7 A1"
"WFPUMSPI";"PUMA MELLS"
"WFPUMGER";"PUMA"
"WFMAR1A5";"MARDER 1A5"
"WFMARMEL";"MARDER 1A5 MELLS"
"WFBOXM2B";"GTK BOXER"
"WFBOXAGL";"GTK BOXER GMG"
"WFBOXCMD";"#CMD GTK BOXER FÜFZG."
"WFBOXMNL";"GTK BOXER GENIE"
"WFDIN1PP";"DINGO 1"
"WFFENAGL";"#RECO2 FENNEK 1A1"
"WFFENMMG";"#RECO2 FENNEK 1A1 MG3"
"WFPZHHOW";"PZH. 2000"
"WFPZHCLU";"PZH. 2000 (CLU)"
"WFPZHPGM";"PZH. 2000 (PGM)"
"WFOZESPA";"OZELOT"
"WFSAMIRI";"IRIS-T SLM"
"WFPZGDMR";"PZ.GRENADIER (DMR)"
"WFJAGPZF";"JAGER"
"WFJAGMMG";"JAGER (MMG)"
"WFJAGMRA";"JAGER (DINGO)"
"WFKSKREC";"#RECO3 KSK"
"WFSNIGER";"#RECO2 SCHARFSCHÜTZE"
"WFSNIKSK";"#RECO2 KSK SCHARFSCHÜTZE"
"WFSPIGER";"MELLS LR"
"WFTIGUH1";"TIGER KHT [AT2]"
"WFTIGUH2";"TIGER KHT"
"WFTIGUH3";"TIGER KHT [AT1]"
"WFTIGUH4";"TIGER KHT [AA]"
"WFTYPAA1";"TYPHOON [AA]"
"WFTYPCA1";"TYPHOON [TAURUS]"
"WFTYPCA2";"TYPHOON [LGB]"
"WFTYPSEA";"TYPHOON [SEAD]"
"WFTORLGB";"TORNADO IDS [LGB]"
"WFRNLDMR";"PANTSERINFANTERIE (DMR)"
"WFC90MLU";"CV9035 MKIIIC MLU"
"WFC903NL";"CV9035 MKIII"
"WFFENNLT";"FENNEK 1"
"WFLEO2NL";"LEOPARD 2A6 MA2"
"WFSPIMNL";"SPIKE MR"
"WFUNIGER";"UNIMOG U4000"
"WFUNILOG";"UNIMOG U4000 MUN."
"WFM27GER";"MARS II (CLU)"
"WFM27GHE";"MARS II (HE)"
"WFVPSGER";"AGF SERVAL"
"WFWOLGER";"WOLF III"
"WFBOXRCT";"GTK BOXER RCT30"
"WFNAS2NL";"NASAMS"
"WFEMTUAV";"EMT ALADIN"
"WFNH9TRA";"NH90 TGEE"
"WFNH9SGR";"NH90 MUN."


"WF90TnRUS";"90-YA GV. TANK. DIV."
"WF90TRUSH";"90-YA GV. TANK. DIV."
"WF4TanRUS";"4-YA GV. TANK. DIV."
"WF4TRUSH";"4-YA GV. TANK. DIV."
"WF2MSDRUS";"2-YA GV. MOTOSTRELK. DIV."
"WF2MSRUSH";"2-YA GV. MOT. DIV."
"WF31VDVRU";"31-YA OG. DESANTNO-SHTURMOVAYA BRIG."
"WF2MSPRE";"PREMADE 2-YA GV. MOT. DIV."

"AK74M";"AK-74M"
"PKP";"PKP Pecheneg"
"RPK74M";"RPK-74M"
"SVDS";"SVDS"
"RPGTab";"TBG-7V Tanin"
"RPOPDM";"RPO PDM"
"SV98";"SV-98"
"152mmHEAT";"152mm"
"Korn";"Kornet"
"IglaS";"9K338"
"Verba";"9K333"
"AGS30";"AGS-30"
"AGS30M";"AGS-30M"
"RPG28";"RPG-28"
"RPG30";"RPG-30"
"125mmHEAT";"125mm"
"2S12M";"2S12M"
"2S12MKM";"2S12M Gran"
"2A46M5";"2A46M-5"
"2A46M4";"2A46M-4"
"2A46M2";"2A46M-2"
"2A46M1";"2A46M-1"
"9M119M1";"9M119M1"
"9M331";"9M331"
"9M338";"9M338"
"9M317";"9M317"
"Strel10M4";"9M333"
"9M311M";"9M311M"
"KORD";"Kord"
"KH38T";"KH-38MT"
"GLONASS";"GLONASS"
"KAB500S";"KAB-500S-E"
"R73M";"R-73M"
"R74M";"R-74M"
"KH25MAE";"KH-25MAE"
"KH29D";"KH-29D"
"R27ET";"R-27ET"
"R27ER";"R-27ER"
"R771";"R-77-1"
"R37M";"R-37M"
"9K1152";"Metis-M"
"9K11521";"Metis-M1"
"130mmHEAT";"130mm"
"9M123";"Khrizantema"
"9M538";"9M538"
"9M541";"9M541"
"KH58USH";"KH-58USHKE"
"2A422";"2A42 Twin"
"ATAKAT";"ATAKA-T"
"IZD810";"IZD. 810"
"KH31PM";"KH-31PM"
"2A80";"2A80-1"
"TOS1A";"M0.1.01.04M"
"S400";"48N6E2"
"96L6E";"96L6E"
"57E6";"57E6"
"107mm";"107mm"
"Drozd";"DROZD"
"9M117M";"9M117M"
"9M117M1";"9M117M1"
"2A75";"2A75"
"2A88";"2A88"
"2A821M";"2A82-1M"
"3UBK21";"3UBK21"
"9R31M";"9R31M"
"S300";"9M83ME"
"S350MIS";"9M96E2"
"Afganit";"AFGANIT"
"Arena";"ARENA-M"
"AK12";"AK-12"
"AK15";"AK-15"
"RG6";"RG-6"

"WFMOTBMP";"MOTOSTRELKI (BMP)"
"WFMOTBTR";"MOTOSTRELKI (BTR)"
"WFMOTB22";"MOTOSTRELKI (RPG-22)"
"WFMOTB27";"MOTOSTRELKI (RPG-27)"
"WFMOTB28";"MOTOSTRELKI (RPG-28)"
"WFMOTSVD";"MOTOSTRELKI (SVD)"
"WFMOTMET";"MOTOSTRELKI (METIS)"
"WFVDVRPG";"DESANTNIKI (RPG-28)"
"WFVDVMET";"DESANTNIKI (METIS)"
"WFVDVBTR";"DESANTNIKI"
"WFDSHCOM";"DSHV (RPG-30)"
"WFSPEGMG";"SPETSNAZ (RG-6)"
"WFMOTCMD";"#CMD MOTOSTRELKI KOM."
"WFRUSFLM";"OGNEMETCHIKI"
"WFENGRRP";"SAPERI (RPG)"
"WFSHTRPG";"SHTURMOVIKI"
"WFSHTRPO";"INZHENERY-SHTURMOVIKI"
"WFSNIRUS";"#RECO2 SNAYPERI"
"WFCEWRUS";"#RECO2 RT RAZVEDKA"
"WFATGKOR";"KORNET"
"WFIGSRUS";"IGLA-S"
"WFVERRUS";"VERBA"
"WFMPSRUS";"VP"
"WF2SMMor";"2S12M"
"WF2SMLas";"2S12M [PGM]"
"WFT80UM2";"T-80UM2"
"WFT80UBM";"T-80U"
"WFT80UB1";"T-80U1"
"WFT80UE1";"T-80U-E1"
"WFT80BVM";"T-80BVM"
"WFT90ARS";"T-90A"
"WFT90MRS";"T-90M"
"WFT90ERA";"T-90M OBR.2020"
"WFT90ARE";"T-90M OBR.2023"
"WFT14ARM";"T-14 ARMATA"
"WFBMPT15";"T-15 ARMATA"
"WFT90CMD";"#CMD T-90A KOM."
"WFT72CMD";"#CMD T-72B3M KOM."
"WFT72B33";"T-72B3"
"WFT72B3M";"T-72B3M"
"WFT72BM1";"T-72B3M1"
"WFT72AVR";"T-72AV"
"WFT72AM1";"T-72A"
"WFT72ACM";"#CMD T-72AV KOM."
"WFT72B89";"T-72B OBR. 89"
"WFT72B22";"T-72B OBR. 2022"
"WFT72BAR";"T-72BA"
"WFT72BCM";"#CMD T-72B KOM."
"WFBMP2MB";"BMP-2M"
"WFBMP1AM";"BMP-1AM"
"WFBMP1MA";"BMP-1AM 675-SB3KDZ"
"WFBMP1AP";"BMP-1P 675-SB3KDZ"
"WFBMP2AP";"BMP-2 675-SB3KDZ"
"WFBRM1AP";"#RECO3 BRM-1K 675-SB3KDZ"
"WFBRM1AM";"#RECO3 BRM-1K OBR. 2021"
"WFBMTRUS";"BMPT"
"WFBTR80A";"BTR-80A"
"WFBTR82A";"BTR-82A"
"WFBTR82T";"BTR-82AT"
"WFBTR80M";"BTR-82AT KORNET"
"WFBTR90M";"BTR-90"
"WF2S9MS2";"MSTA-SM2"
"WF2S9CLU";"MSTA-SM2 [CLU]"
"WF2S9PGM";"MSTA-SM2 [PGM]"
"WFTOS1RU";"TOS-1A"
"WF234HOS";"2S34 HOSTA"
"WF234PGM";"2S34 HOSTA [PGM]"
"WFTORRM1";"9K331 TOR-M1"
"WFTORRM2";"9K332 TOR-M2"
"WFTORRE2";"9K332 TOR-M2U"
"WFBUKM12";"BUK-M1-2"
"WFBUKM3V";"BUK-M3"
"WFPNTS1R";"PANTSIR S-2"
"WFURACLU";"BM-27 URAGAN [CLU]"
"WFSTR104";"STRELA-10M4"
"WFTUN2M1";"2K22M1 TUNGUSKA"
"WFTIGHMG";"TIGR-M KORD"
"WFTIGRUS";"TIGR-M"
"WFTIGREC";"#RECO2 TIGR-M"
"WFTYPRUS";"TYPHOON"
"WFKAM66T";"KAMAZ 6X6"
"WFKAM66S";"KAMAZ 6X6 SNAB."
"WFKAM44T";"KAMAZ 4X4"
